1.162783329842155552e-08,1.126976329513793326e-08,2.115561531005202365e-08,1.126976329513793326e-08,2.239110539040132567e-08,8.096595224092357944e-09,2.115561531005202365e-08,8.096595224092357944e-09,2.150929888518137884e-08
1.015651606153434375e-08,9.843789207391863937e-09,1.848087400448662240e-08,9.843789207391863937e-09,1.955789349738679711e-08,7.076310292913018880e-09,1.848087400448662240e-08,7.076310292913018880e-09,1.878980744028497596e-08
8.511068115207076431e-09,8.249047504486432629e-09,1.548934669972646487e-08,8.249047504486432629e-09,1.638936813299814899e-08,5.934828170054186311e-09,1.548934669972646487e-08,5.934828170054186311e-09,1.574823413012027321e-08
6.721138426395887270e-09,6.514271142193071074e-09,1.223478675832268672e-08,6.514271142193071074e-09,1.294262060386102961e-08,4.692424831126785455e-09,1.223478675832268672e-08,4.692424831126785455e-09,1.243923398971537383e-08
4.850586188355235396e-09,4.701348028216039235e-09,8.833075083392510745e-09,4.701348028216039235e-09,9.340617752571069722e-09,3.392974338323650264e-09,8.833075083392510745e-09,3.392974338323650264e-09,8.980629700422585630e-09
3.013836227712819099e-09,2.921171994253627127e-09,5.491935858313142699e-09,2.921171994253627127e-09,5.803696113183892591e-09,2.115256797189237597e-09,5.491935858313142699e-09,2.115256797189237597e-09,5.583624407590304380e-09
1.396502408208620927e-09,1.353630281447124166e-09,2.548415990971024735e-09,1.353630281447124166e-09,2.689274686765105658e-09,9.872348493623103431e-10,2.548415990971024735e-09,9.872348493623103431e-10,2.590907738041620497e-09
2.789657002792428299e-10,2.704546647636025653e-10,5.117534399543515586e-10,2.704546647636025653e-10,5.372573027834220549e-10,2.024128386215450880e-10,5.117534399543515586e-10,2.024128386215450880e-10,5.202401842977519408e-10
5.864322310669845042e-11,5.680423000706284226e-11,1.039089124779864059e-10,5.680423000706284226e-11,1.129145062336302018e-10,3.537156753961565689e-11,1.039089124779864059e-10,3.537156753961565689e-11,1.056605438175247880e-10
1.261186587957288824e-09,1.222119131199785739e-09,2.280061811833684140e-09,1.222119131199785739e-09,2.428447640311456721e-09,8.498015330315700992e-10,2.280061811833684140e-09,8.498015330315700992e-10,2.318320651694115229e-09
4.521602063860407514e-09,4.381824467632697523e-09,8.194594139408362960e-09,4.381824467632697523e-09,8.706634401808912382e-09,3.086006641304507357e-09,8.194594139408362960e-09,3.086006641304507357e-09,8.331893654281440307e-09
1.050255776477737844e-08,1.017815890301030670e-08,1.905316263711169062e-08,1.017815890301030670e-08,2.022352105603016982e-08,7.205396371078321039e-09,1.905316263711169062e-08,7.205396371078321039e-09,1.937216274512620331e-08
1.970066755286021314e-08,1.909243583719399736e-08,3.576150648085505301e-08,1.909243583719399736e-08,3.793540170197555137e-08,1.355805788139409079e-08,3.576150648085505301e-08,1.355805788139409079e-08,3.635994517023004611e-08
3.208135620493999435e-08,3.109117300090749902e-08,5.826297952949155185e-08,3.109117300090749902e-08,6.177571165392634346e-08,2.213216270744521761e-08,5.826297952949155185e-08,2.213216270744521761e-08,5.923754133068146414e-08
4.650525388185162268e-08,4.507018069971627931e-08,8.449689400442689013e-08,4.507018069971627931e-08,8.955048755030581553e-08,3.215843495202779821e-08,8.449689400442689013e-08,3.215843495202779821e-08,8.590967602441452921e-08
6.002335311003077519e-08,5.817145776637968299e-08,1.091162116569013478e-07,5.817145776637968299e-08,1.155811156255686936e-07,4.161956907880044425e-08,1.091162116569013478e-07,4.161956907880044425e-08,1.109398115934660000e-07
6.743089741047993547e-08,6.535083159942747844e-08,1.226692715166466098e-07,6.535083159942747844e-08,1.298452971249996177e-07,4.692662978510207189e-08,1.226692715166466098e-07,4.692662978510207189e-08,1.247183321635499444e-07
6.210545115129443837e-08,6.019014708343225778e-08,1.131035248440076619e-07,6.019014708343225778e-08,1.195908399317275072e-07,4.346115369814115201e-08,1.131035248440076619e-07,4.346115369814115201e-08,1.149916123292213219e-07
4.005974564360268957e-08,3.882500044095482257e-08,7.310120962330333344e-08,3.882500044095482257e-08,7.713980888665372687e-08,2.832200372046701587e-08,7.310120962330333344e-08,2.832200372046701587e-08,7.432039245182576957e-08
9.489788646206862951e-09,9.198037961086114845e-09,1.743053796727414160e-08,9.198037961086114845e-09,1.827423724432181446e-08,6.932949589529534993e-09,1.743053796727414160e-08,6.932949589529534993e-09,1.772045398581265638e-08
5.226949510560219358e-09,5.064651810147055216e-09,9.374355979103410415e-09,5.064651810147055216e-09,1.006464695646520256e-08,3.372179521215560277e-09,9.374355979103410415e-09,3.372179521215560277e-09,9.531122162530190987e-09
9.677041628339079331e-08,9.377737396409984526e-08,1.758919938246854905e-07,9.377737396409984526e-08,1.863370109019523594e-07,6.705057675236795596e-08,1.758919938246854905e-07,6.705057675236795596e-08,1.788273384679362304e-07
3.597007907095776369e-07,3.485845195471617870e-07,6.565501759391607892e-07,3.485845195471617870e-07,6.926292147516667086e-07,2.546709065275577896e-07,6.565501759391607892e-07,2.546709065275577896e-07,6.674957963292342535e-07
7.770690289463632607e-07,7.530726098916920123e-07,1.423896227330697555e-06,7.530726098916920123e-07,1.496315289247664445e-06,5.611310065422470331e-07,1.423896227330697555e-06,5.611310065422470331e-07,1.447614242652231158e-06
1.111486302172539488e-06,1.077209216829287829e-06,2.045780534419017747e-06,1.077209216829287829e-06,2.140307353855538812e-06,8.206142217877763748e-07,2.045780534419017747e-06,8.206142217877763748e-07,2.079824494544795175e-06
